period,respondent,respondent-name,fueltype,type-name,value,value-units
2025-07-10 23:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-10 23:00:00,FPL,Florida Power & Light Co.,OTH,Other,409.0,megawatthours
2025-07-10 23:00:00,FPL,Florida Power & Light Co.,SUN,Solar,2240.0,megawatthours
2025-07-10 22:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,19430.0,megawatthours
2025-07-10 22:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3714.0,megawatthours
2025-07-10 22:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-10 22:00:00,FPL,Florida Power & Light Co.,OTH,Other,354.0,megawatthours
2025-07-10 22:00:00,FPL,Florida Power & Light Co.,SUN,Solar,2900.0,megawatthours
2025-07-10 21:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,19739.0,megawatthours
2025-07-10 21:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3714.0,megawatthours
2025-07-10 21:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-10 21:00:00,FPL,Florida Power & Light Co.,OTH,Other,353.0,megawatthours
2025-07-10 21:00:00,FPL,Florida Power & Light Co.,SUN,Solar,3184.0,megawatthours
2025-07-10 20:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,18380.0,megawatthours
2025-07-10 20:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3715.0,megawatthours
2025-07-10 20:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-10 20:00:00,FPL,Florida Power & Light Co.,OTH,Other,331.0,megawatthours
2025-07-10 20:00:00,FPL,Florida Power & Light Co.,SUN,Solar,4639.0,megawatthours
2025-07-10 19:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,16800.0,megawatthours
2025-07-10 19:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3719.0,megawatthours
2025-07-10 19:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-10 19:00:00,FPL,Florida Power & Light Co.,OTH,Other,258.0,megawatthours
2025-07-10 19:00:00,FPL,Florida Power & Light Co.,SUN,Solar,5823.0,megawatthours
